Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides YAL6Bproteome	Razor + unique peptides YAL6Bproteome	Unique peptides YAL6Bproteome	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Sequence coverage YAL6Bproteome [%]	Intensity	Intensity YAL6Bproteome	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YOR326W	YOR326W	45	45	42	>YOR326W pep:known chromosome:R64-1-1:XV:925721:930445:1 gene:YOR326W transcript:YOR326W description:One of two type V myosin motors (along with MYO4) involved in actin-based transport of cargos\x3b required for the polarized delivery of secretory vesicle	1	45	45	42	45	45	42	34.9	34.9	32.5	180.68	1574	1574	6.97					3	19	47	22	0	323.31	34.9	5383800000	5383800000	89				3296	551;1686;2420;4166;4867;5227;5363;5489;6174;6198;8247;8262;8408;11229;11604;12368;12522;12834;13198;13862;14721;16008;16061;17126;17375;17407;19137;19232;20107;20203;20204;20389;21505;21802;22024;22977;25638;25703;26076;26422;26711;27725;29920;29981;30385	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	585;1802;2568;4380;5105;5477;5619;5757;6469;6494;8621;8638;8788;11740;12137;12926;13086;13413;13784;14469;15360;16719;16773;17871;18194;18235;18236;20147;20244;21166;21268;21269;21461;22618;22935;23160;24157;26946;27015;27403;27776;28082;29153;31457;31518;31937	1797;1798;5435;7556;7557;7558;11863;11864;13866;13867;13868;13869;14845;15170;15528;15529;17261;17262;17315;17316;23047;23107;23451;23452;31849;31850;32844;34937;35397;35398;35399;36359;37263;37264;37265;37266;37267;38927;38928;41104;41105;44758;44759;44760;44761;44762;44865;44866;44867;44868;44869;47822;48522;48523;48609;48610;53053;53054;53055;53276;55435;55436;55437;55438;55439;55687;55688;55689;56082;59057;59058;59923;60482;63092;70568;70748;70749;70750;71775;71776;72816;72817;72818;73560;76601;76602;76603;76604;83354;83542;84579	2250;2251;6307;8759;8760;8761;13550;13551;15863;15864;15865;15866;16936;17290;17672;17673;19627;19628;19687;19688;26140;26205;26580;26581;36542;36543;37610;39990;40523;40524;40525;41646;42654;42655;42656;42657;42658;44478;44479;46848;46849;50944;50945;50946;50947;50948;51059;51060;51061;51062;51063;54430;55194;55195;55284;55285;60211;60212;60213;60214;60449;62810;62811;62812;62813;62814;63075;63076;63077;63493;66753;66754;67781;68417;71344;79855;80060;80061;80062;81174;81175;82360;82361;82362;83157;86633;86634;86635;86636;94514;94722;95914	2251;6307;8761;13550;15864;16936;17290;17673;19627;19688;26140;26205;26581;36543;37610;39990;40525;41646;42656;44479;46849;50945;51059;54430;55195;55285;60212;60449;62813;63075;63077;63493;66753;67781;68417;71344;79855;80061;81174;82360;83157;86635;94514;94722;95914	1455	747
YOR327C	YOR327C	3	3	2	>YOR327C pep:known chromosome:R64-1-1:XV:930734:931081:-1 gene:YOR327C transcript:YOR327C description:Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane\x3b member of the sy	1	3	3	2	3	3	2	40.9	40.9	28.7	12.957	115	115	1.25	3	1							0	26.601	40.9	1153200000	1153200000	4				3297	230;25034;27021	True;True;True	250;26305;28411	777;68616;74588;74589	1046;77608;84330;84331	1046;77608;84330		
YOR330C	YOR330C	7	7	7	>YOR330C pep:known chromosome:R64-1-1:XV:939621:943385:-1 gene:YOR330C transcript:YOR330C description:Catalytic subunit of the mitochondrial DNA polymerase\x3b conserved C-terminal segment is required for the maintenance of mitochondrial genome\x3b relate	1	7	7	7	7	7	7	7.1	7.1	7.1	143.5	1254	1254	7							7		0	14.684	7.1	142170000	142170000	5				3298	240;1259;6621;14503;25098;25138;28493	True;True;True;True;True;True;True	260;1346;6929;15134;26374;26417;29954	795;3989;18577;40515;68911;68995;78943	1065;4676;21189;46188;77961;78047;89418	1065;4676;21189;46188;77961;78047;89418		
YOR332W	YOR332W	15	15	15	>YOR332W pep:known chromosome:R64-1-1:XV:943656:944357:1 gene:YOR332W transcript:YOR332W description:Subunit E of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endome	1	15	15	15	15	15	15	70.4	70.4	70.4	26.471	233	233	2.14	11	41	17	2					0	323.31	70.4	43887000000	43887000000	86				3299	235;927;928;1161;1447;2509;3317;3318;10611;12693;15489;17617;24319;26166;28085	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	255;990;991;992;993;994;1244;1553;2658;2659;3495;3496;11109;13266;16172;18509;25555;27510;29530	783;2929;2930;2931;2932;2933;2934;2935;2936;2937;2938;2939;2940;2941;2942;2943;2944;3719;4631;4632;4633;4634;4635;4636;7763;7764;7765;7766;7767;7768;7769;7770;7771;7772;9776;9777;9778;9779;9780;9781;9782;30196;30197;30198;30199;30200;30201;30202;30203;30204;35970;43341;43342;43343;43344;43345;49160;66715;72009;72010;72011;72012;72013;72014;72015;77679;77680;77681;77682;77683;77684	1052;3484;3485;3486;3487;3488;3489;3490;3491;3492;3493;3494;3495;3496;3497;3498;3499;3500;4381;5389;5390;5391;5392;5393;5394;5395;8978;8979;8980;8981;8982;8983;8984;8985;8986;8987;8988;8989;8990;11214;11215;11216;11217;11218;11219;11220;11221;11222;11223;11224;11225;34725;34726;34727;34728;34729;34730;34731;34732;34733;34734;34735;34736;41211;49332;49333;49334;49335;49336;55878;75495;81421;81422;81423;81424;81425;81426;81427;81428;81429;87936;87937;87938;87939;87940;87941	1052;3485;3496;4381;5393;8986;11224;11225;34736;41211;49336;55878;75495;81425;87939	1456;1457;1458	70;152;157
YOR335C	YOR335C	53	53	53	>YOR335C pep:known chromosome:R64-1-1:XV:946233:949109:-1 gene:YOR335C transcript:YOR335C description:Cytoplasmic and mitochondrial alanyl-tRNA synthetase, required for protein synthesis\x3b point mutation (cdc64-1 allele) causes cell cycle arrest at G1\x	1	53	53	53	53	53	53	62.3	62.3	62.3	107.28	958	958	5.65	6	12	23	23	35	52	78	30	0	323.31	62.3	112670000000	112670000000	292				3300	808;850;1949;1950;2185;2447;3435;3542;3621;4219;4998;5587;6144;7045;8448;8516;8817;9102;9901;10463;11014;12456;12716;12757;13665;13799;14736;14765;14820;14821;15819;15864;16177;16178;18892;19495;19916;20674;20790;20977;23295;23465;25196;25417;25883;27280;28665;29279;29397;29625;29665;29718;30305	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	867;868;911;2074;2075;2324;2595;3624;3734;3817;4433;5240;5860;6438;7368;8832;8903;9220;9221;9520;10374;10957;11520;13018;13289;13331;14261;14402;15375;15408;15467;15468;16519;16566;16890;16891;19898;20520;20968;21753;21872;21873;22072;24489;24669;26478;26711;27202;28687;30131;30785;30910;31146;31188;31248;31855	2597;2598;2599;2600;2601;2602;2603;2604;2605;2606;2693;2694;2695;2696;2697;6264;6265;6266;6267;6268;6269;7041;7042;7043;7044;7045;7629;7630;7631;7632;7633;7634;7635;10045;10046;10047;10048;10262;10263;10264;10472;10473;10474;10475;12021;12022;14261;14262;15719;15720;15721;15722;17189;17190;19806;19807;19808;19809;19810;19811;23617;23618;23815;23816;23817;24643;24644;24645;24646;24647;24648;24649;24650;24651;24652;24653;25589;25590;25591;25592;28242;28243;28244;28245;28246;29833;29834;29835;29836;29837;31260;31261;31262;31263;31264;31265;31266;31267;35211;36028;36166;38349;38350;38351;38352;38353;38354;38355;38356;38357;38358;38359;38735;41141;41142;41143;41144;41145;41146;41147;41148;41149;41150;41222;41223;41224;41225;41226;41227;41436;41437;41438;41439;41440;41441;41442;41443;41444;41445;44178;44179;44180;44181;44182;44183;44184;44277;44278;44279;44280;45132;45133;45134;45135;45136;45137;45138;45139;45140;45141;45142;52417;52418;52419;52420;52421;52422;52423;52424;53885;53886;53887;53888;53889;53890;53891;53892;53893;54977;56808;56809;57116;57117;57637;57638;57639;64105;64106;64107;64108;64109;64595;64596;64597;64598;64599;64600;64601;64602;64603;64604;69172;69173;69174;69791;69792;69793;69794;69795;69796;71258;71259;71260;71261;71262;71263;71264;71265;71266;71267;75370;79459;79460;79461;79462;79463;81448;81449;81450;81451;81452;81453;81454;81824;81825;81826;82516;82517;82518;82519;82520;82521;82624;82625;82626;82793;82794;82795;82796;82797;82798;82799;84431;84432;84433;84434;84435;84436;84437	3138;3139;3140;3141;3142;3143;3144;3145;3146;3147;3148;3235;3236;3237;3238;3239;7288;7289;7290;7291;7292;7293;8199;8200;8201;8202;8203;8833;8834;8835;8836;8837;8838;8839;11503;11504;11505;11506;11732;11733;11734;11735;11956;11957;11958;11959;11960;11961;11962;13719;13720;16290;16291;17869;17870;17871;17872;17873;17874;19539;19540;19541;22524;22525;22526;22527;22528;22529;26770;26771;26994;26995;26996;27916;27917;27918;27919;27920;27921;27922;27923;27924;27925;27926;27927;29105;29106;29107;29108;29109;32474;32475;32476;32477;32478;32479;34326;34327;34328;34329;34330;35887;35888;35889;35890;35891;35892;35893;35894;40304;41275;41429;43844;43845;43846;43847;43848;43849;43850;43851;43852;43853;43854;43855;43856;44270;46888;46889;46890;46891;46892;46893;46894;46895;46896;46897;46975;46976;46977;46978;46979;46980;47210;47211;47212;47213;47214;47215;47216;47217;47218;47219;47220;47221;47222;50243;50244;50245;50246;50247;50248;50249;50250;50251;50252;50348;50349;50350;50351;51345;51346;51347;51348;51349;51350;51351;51352;51353;51354;51355;51356;51357;51358;59463;59464;59465;59466;59467;59468;59469;59470;59471;61109;61110;61111;61112;61113;61114;61115;61116;61117;61118;61119;61120;62295;64254;64255;64605;64606;65181;65182;65183;72584;72585;72586;72587;72588;73159;73160;73161;73162;73163;73164;73165;73166;73167;73168;78240;78241;78242;78920;78921;78922;78923;78924;78925;80603;80604;80605;80606;80607;80608;80609;80610;80611;80612;80613;80614;80615;85260;90002;90003;90004;90005;90006;90007;92393;92394;92395;92396;92397;92398;92399;92805;92806;92807;92808;92809;93598;93599;93600;93601;93602;93603;93604;93605;93726;93727;93728;93729;93912;93913;93914;93915;93916;93917;93918;93919;93920;95751;95752;95753;95754;95755;95756;95757;95758;95759;95760	3141;3236;7289;7290;8200;8833;11503;11734;11962;13719;16290;17874;19540;22529;26770;26996;27921;29108;32477;34326;35892;40304;41275;41429;43848;44270;46896;46977;47214;47222;50244;50349;51351;51358;59469;61117;62295;64254;64606;65181;72586;73167;78241;78922;80610;85260;90003;92398;92808;93602;93729;93915;95757	1459;1460;1461	435;869;934
YOR336W	YOR336W	27	27	27	>YOR336W pep:known chromosome:R64-1-1:XV:949773:953870:1 gene:YOR336W transcript:YOR336W description:Protein required for beta-1,6 glucan biosynthesis\x3b mutations result in aberrant morphology and severe growth defects	1	27	27	27	27	27	27	24.9	24.9	24.9	156.48	1365	1365	7.06						1	30	3	0	178.91	24.9	2874700000	2874700000	33				3301	2962;3299;3449;3808;4231;6624;6898;7653;11516;12304;12346;12765;16050;16857;17502;17959;18126;19337;20147;22581;23002;23132;23451;25387;25424;28198;30174	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3124;3475;3639;4006;4445;6932;7217;8004;12034;12862;12904;13339;16762;17595;18357;18915;19086;20353;21207;23736;24183;24317;24654;26678;26718;29651;31718	8895;9722;10077;10941;10942;12058;18589;19360;21444;32614;32615;34717;34832;36176;44836;47110;48839;50147;50481;53501;55512;61953;63164;63165;63442;63443;64567;64568;69661;69818;69819;78006;78007;83974	10229;11155;11536;12467;12468;13766;21201;22039;24403;37364;37365;39737;39858;41439;51027;53650;55524;56962;57305;60684;62888;70095;71421;71422;71722;71723;73126;73127;78753;78948;78949;88304;88305;95186	10229;11155;11536;12467;13766;21201;22039;24403;37365;39737;39858;41439;51027;53650;55524;56962;57305;60684;62888;70095;71422;71722;73126;78753;78948;88305;95186		
YOR340C	YOR340C	5	5	5	>YOR340C pep:known chromosome:R64-1-1:XV:959202:960182:-1 gene:YOR340C transcript:YOR340C description:RNA polymerase I subunit A43	1	5	5	5	5	5	5	19.9	19.9	19.9	36.224	326	326	4.36		1	2	8	1			2	0	12.822	19.9	3441100000	3441100000	14				3302	7604;20052;20784;20934;27542	True;True;True;True;True	7952;21109;21110;21866;22028;28961	21308;21309;55297;55298;55299;55300;57106;57107;57516;57517;76038;76039;76040;76041	24253;24254;62659;62660;62661;62662;62663;64595;64596;65034;65035;86001;86002;86003;86004	24253;62660;64596;65035;86003	1462	71
YOR341W	YOR341W	66	66	66	>YOR341W pep:known chromosome:R64-1-1:XV:960987:965981:1 gene:YOR341W transcript:YOR341W description:RNA polymerase I largest subunit A190	1	66	66	66	66	66	66	54.5	54.5	54.5	186.43	1664	1664	6.98		1			9	24	105	43	0	323.31	54.5	38372000000	38372000000	201				3303	246;868;869;1071;1072;1635;1901;2111;2311;2739;3031;3855;5018;5719;6020;7519;8265;8977;9097;9111;10712;12530;12887;13147;13321;13817;14499;14681;15373;15744;16208;16749;16845;16846;17225;17714;18488;19138;19801;20149;21575;21684;22095;22267;22368;23117;23345;23448;24805;25593;25998;26279;26583;26610;28009;28112;28176;28319;28542;29239;29261;29484;29673;29936;30068;30100	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	267;929;930;1142;1143;1748;2024;2246;2247;2454;2893;3198;4054;5261;5999;6305;7865;8641;8642;9390;9515;9531;11211;13094;13466;13732;13911;14422;15130;15318;16048;16049;16442;16923;17484;17583;17584;17989;18633;18634;19463;20148;20848;21209;22689;22806;23231;23232;23411;23514;24302;24541;24650;24651;26063;26899;27323;27324;27625;27945;27973;29452;29557;29629;29777;30005;30742;30743;30765;31003;31196;31473;31608;31641	819;2747;2748;2749;2750;2751;3424;3425;3426;3427;3428;5312;5313;5314;6108;6109;6110;6111;6112;6113;6866;6867;6868;6869;6870;7296;7297;8260;8261;9084;9085;9086;11036;14300;14301;14302;16093;16094;16849;21067;21068;21069;21070;23112;23113;23114;23115;23116;25189;25575;25576;25577;25625;25626;30452;30453;30454;30455;35420;36479;37102;37103;37104;37105;37106;37553;37554;38795;38796;40500;40501;40999;41000;41001;41002;41003;42980;42981;42982;42983;43963;43964;43965;45229;46828;47079;47080;47081;47082;47083;47084;47085;48088;49420;49421;49422;49423;51346;51347;51348;53056;53057;53058;53059;53060;54704;55517;55518;55519;59283;59284;59633;59634;60650;60651;60652;60653;60654;60655;60656;60657;61079;61080;61336;61337;63418;64223;64555;64556;64557;64558;67993;67994;70344;70345;70346;71573;71574;71575;71576;71577;71578;72337;72338;73295;73296;73356;73357;73358;73359;77486;77487;77488;77489;77739;77740;77943;77944;77945;78407;79120;79121;79122;79123;81354;81355;81409;81410;81411;82054;82638;82639;82640;82641;82642;83431;83432;83433;83754;83755;83825;83826	1093;3289;3290;3291;3292;3293;3294;4041;4042;4043;4044;4045;4046;6177;6178;6179;7104;7105;7106;7107;7108;7109;7110;8003;8004;8005;8006;8007;8473;8474;9511;9512;10432;10433;10434;12570;16331;16332;16333;18348;18349;19165;23977;23978;23979;23980;26210;26211;26212;26213;26214;26215;26216;26217;28620;29091;29092;29093;29144;29145;35021;35022;35023;35024;40548;41787;42470;42471;42472;42473;42474;42963;42964;44334;44335;46164;46165;46738;46739;46740;46741;46742;46743;48909;48910;48911;48912;49994;49995;49996;51457;53342;53615;53616;53617;53618;53619;53620;53621;53622;53623;54726;56156;56157;56158;56159;56160;58240;58241;58242;60215;60216;60217;60218;60219;62009;62893;62894;62895;67038;67039;67467;67468;68594;68595;68596;68597;68598;68599;68600;68601;68602;69078;69079;69080;69358;69359;71697;71698;72708;73114;73115;73116;73117;76910;76911;79556;79557;79558;79559;79560;80954;80955;80956;80957;80958;80959;81809;81810;82879;82880;82946;82947;82948;82949;87728;87729;87730;87731;88001;88002;88222;88223;88224;88225;88790;89631;89632;89633;89634;89635;92298;92299;92353;92354;92355;93056;93741;93742;93743;93744;93745;93746;94601;94602;94603;94604;94605;94606;94949;94950;95023;95024	1093;3292;3294;4041;4046;6178;7107;8006;8474;9512;10434;12570;16333;18349;19165;23979;26216;28620;29092;29145;35024;40548;41787;42470;42964;44335;46165;46741;48911;49996;51457;53342;53618;53623;54726;56157;58242;60217;62009;62894;67039;67467;68596;69080;69358;71698;72708;73116;76911;79558;80957;81810;82880;82946;87731;88002;88223;88790;89635;92299;92353;93056;93745;94602;94949;95024	1463;1464;1465;1466;1467;1468;1469;1470;1471;1472	191;238;274;549;925;928;977;1439;1485;1613
YOR347C	YOR347C	6	6	6	>YOR347C pep:known chromosome:R64-1-1:XV:984942:986462:-1 gene:YOR347C transcript:YOR347C description:Pyruvate kinase that appears to be modulated by phosphorylation\x3b PYK2 transcription is repressed by glucose, and Pyk2p may be active under low glycoly	1	6	6	6	6	6	6	18.2	18.2	18.2	55.195	506	506	5					9				0	28.7	18.2	1044000000	1044000000	9				3304	8396;9343;10917;19690;21553;26208	True;True;True;True;True;True	8776;9781;11421;20727;22667;27553	23421;23422;26459;31003;54416;59225;59226;72139;72140	26543;26544;30340;35617;61705;66979;66980;81577;81578	26543;30340;35617;61705;66980;81578		
YOR349W	YOR349W	1	1	1	>YOR349W pep:known chromosome:R64-1-1:XV:989789:992833:1 gene:YOR349W transcript:YOR349W description:Tubulin folding factor D involved in beta-tubulin (Tub2p) folding\x3b isolated as mutant with increased chromosome loss and sensitivity to benomyl	1	1	1	1	1	1	1	1	1	1	116.65	1014	1014	6						1			0.00091158	2.6089	1	21468000	21468000	1				3305	10003	True	10481	28520	32784	32784		
YOR352W	YOR352W	3	3	3	>YOR352W pep:known chromosome:R64-1-1:XV:997213:998244:1 gene:YOR352W transcript:YOR352W description:Putative protein of unknown function\x3b expression levels regulated by Arg5,6p\x3b green fluorescent protein (GFP)-fusion protein localizes to the cytopl	1	3	3	3	3	3	3	9	9	9	39.274	343	343	4				4					0	7.2559	9	144310000	144310000	4				3306	7853;10231;21313	True;True;True	8212;10716;22417	21971;29139;58482;58483	24989;33477;66091;66092	24989;33477;66091		
YOR353C	YOR353C	2	2	2	>YOR353C pep:known chromosome:R64-1-1:XV:998453:1000828:-1 gene:YOR353C transcript:YOR353C description:Key component of the RAM signaling network, required for proper cell morphogenesis and cell separation after mitosis	1	2	2	2	2	2	2	3.4	3.4	3.4	87.325	791	791	4.5			1			1			0	5.0665	3.4	36559000	36559000	2				3307	18397;26714	True;True	19370;28085	51141;73564	58024;83161	58024;83161		
YOR354C	YOR354C	10	10	10	>YOR354C pep:known chromosome:R64-1-1:XV:1001147:1003225:-1 gene:YOR354C transcript:YOR354C description:Protein of unknown function\x3b mutant is defective in directing meiotic recombination events to homologous chromatids\x3b the authentic, non-tagged pr	1	10	10	10	10	10	10	18.6	18.6	18.6	79.946	692	692	6						10			0	32.154	18.6	735210000	735210000	10				3308	419;1299;3755;4734;7046;10046;11421;18659;21844;28003	True;True;True;True;True;True;True;True;True;True	448;1388;3951;4966;7369;10527;11938;19641;22978;29446	1377;4073;10784;13457;19812;28648;32366;51772;60020;77473	1752;4768;12285;15346;22530;32916;37097;58708;67890;87715	1752;4768;12285;15346;22530;32916;37097;58708;67890;87715		
YOR355W	YOR355W	1	1	1	>YOR355W pep:known chromosome:R64-1-1:XV:1005137:1006705:1 gene:YOR355W transcript:YOR355W description:Protein of unknown function, required for growth on glycerol as a carbon source\x3b the authentic, non-tagged protein is detected in highly purified mit	1	1	1	1	1	1	1	2.5	2.5	2.5	57.048	522	522	5					1				0.00094014	3.2061	2.5	17886000	17886000	1				3309	19314	True	20330	53459	60640	60640		
YOR356W	YOR356W	15	15	15	>YOR356W pep:known chromosome:R64-1-1:XV:1007221:1009116:1 gene:YOR356W transcript:YOR356W description:Putative ortholog of human electron transfer flavoprotein dehydrogenase (ETF-dH)\x3b found in a large supramolecular complex with other mitochondrial de	1	15	15	15	15	15	15	28.5	28.5	28.5	69.633	631	631	5.54				1	9	14			0	77.494	28.5	1956600000	1956600000	24				3310	1352;2173;5120;5208;5441;6387;9017;9276;9700;18014;19059;23130;24061;29106;29341	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1446;2311;5367;5458;5698;6688;9431;9708;10160;18970;20067;24315;25290;30602;30849	4275;4276;4277;7022;14581;14797;15382;15383;17858;25320;25321;26051;27598;27599;27600;50243;52828;63438;63439;66021;66022;80994;81641;81642	4991;4992;4993;8179;16654;16885;17516;17517;20292;28781;28782;29599;31684;31685;31686;57061;59931;71718;71719;74690;74691;91893;92603;92604	4991;8179;16654;16885;17517;20292;28782;29599;31684;57061;59931;71719;74690;91893;92604		
